GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%)
0400000US09,09,Connecticut,,31-33,Manufacturing,,2015,156392,1.3,10826607,1.6,90995,1.0,186064,1.0,4737639,1.1,22972020,1.4,57994536,1.0,35104960,1.1,1484076,2.2
0400000US09,09,Connecticut,,31-33,Manufacturing,,2014,156981,0.5,10610363,0.5,94309,0.7,192306,0.7,4738058,0.6,23956546,0.5,58693325,0.4,33094709,0.6,1496100,2.0
0400000US10,10,Delaware,,31-33,Manufacturing,,2015,25940,0.9,1495736,0.8,17710,1.2,36332,1.1,804053,0.9,12724265,0.1,18674159,0.2,6029000,0.4,419965,0.8
0400000US10,10,Delaware,,31-33,Manufacturing,,2014,25585,0.8,1446985,0.6,17608,1.0,36369,0.7,786979,0.7,15994869,0.1,21758976,0.1,5582236,0.4,287126,1.7
0400000US11,11,District of Columbia,,31-33,Manufacturing,,2015,1139,1.1,52871,0.3,725,1.1,1534,0.3,30003,0.3,122806,0.3,316461,0.2,,,5895,2.7
0400000US11,11,District of Columbia,,31-33,Manufacturing,,2014,1134,1.1,50626,0.3,729,1.1,1531,0.0,28833,0.4,119071,0.3,290246,0.3,,,5391,2.9
0400000US12,12,Florida,,31-33,Manufacturing,,2015,269420,0.7,15009854,0.8,179700,0.8,363431,0.8,7735071,0.7,52356461,0.5,107032606,0.5,56974270,0.6,2909792,1.1
0400000US12,12,Florida,,31-33,Manufacturing,,2014,264469,0.8,14396864,0.7,175975,0.8,354147,0.8,7443532,0.6,51638603,0.5,103045253,0.5,51505171,0.7,3315615,2.7
0400000US13,13,Georgia,,31-33,Manufacturing,,2015,346433,0.8,17386063,0.6,261909,0.9,535144,1.0,10845476,0.8,98956690,0.5,167761546,0.5,68622122,0.6,6112474,0.7
0400000US13,13,Georgia,,31-33,Manufacturing,,2014,334847,0.4,16574947,0.4,253808,0.5,525862,0.5,10456337,0.5,99760072,0.4,166037883,0.4,67029692,0.5,6207066,2.0
