GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,3312,Steel product manufacturing from purchased steel,,2010,38712,2,2013896,30507,1394184,62847,16239926,22239603,6321069,4,463474,10
0100000US,,United States,,3313,Alumina and aluminum production and processing,,2011,51059,1,2862414,40542,2031092,85630,29423341,38895046,9625201,1,937131,1
0100000US,,United States,,3313,Alumina and aluminum production and processing,,2010,48225,1,2651325,37675,1826668,77978,24942562,32925440,8353032,1,629656,1
0100000US,,United States,,3314,Nonferrous metal (except aluminum) production and processing,,2011,56935,1,3351208,41680,2107477,84446,44015560,67795806,24405571,1,1977272,1
0100000US,,United States,,3314,Nonferrous metal (except aluminum) production and processing,,2010,55039,1,3167714,39604,1989191,81060,35409349,57048667,22630604,1,2016769,2
0100000US,,United States,,3315,Foundries,,2011,123500,1,5988535,100432,4248166,206402,15006287,31327043,16516751,1,1233727,5
0100000US,,United States,,3315,Foundries,,2010,113259,1,5421562,91950,3828587,187009,12692828,27099599,14665707,1,784355,3
0100000US,,United States,,332,Fabricated metal product manufacturing,,2011,1285707,1,62575193,947242,38937642,1921327,156821790,326796980,172967462,1,10418072,1
0100000US,,United States,,332,Fabricated metal product manufacturing,,2010,1236206,1,58540665,902323,35832849,1817192,138596846,293888983,156888259,1,7866135,2
0100000US,,United States,,3321,Forging and stamping,,2011,103326,1,5115086,76231,3158048,156121,18423381,33120698,15286620,1,1233254,2
0100000US,,United States,,3321,Forging and stamping,,2010,98848,1,4852994,73088,2968124,149592,16178163,29258671,13324211,1,835873,3
0100000US,,United States,,3322,Cutlery and handtool manufacturing,,2011,36349,6,1787293,26443,1042545,53276,3731819,10850698,7162641,2,296132,4
0100000US,,United States,,3322,Cutlery and handtool manufacturing,,2010,36806,4,1728181,26379,1015758,52006,3715525,10888597,7138385,2,280208,2
0100000US,,United States,,3323,Architectural and structural metals manufacturing,,2011,302238,1,13911563,216684,8327272,432776,38403975,72186909,34162143,1,1625567,2
0100000US,,United States,,3323,Architectural and structural metals manufacturing,,2010,302210,1,13494831,212802,7866832,422462,34322799,66390214,32141867,1,1339821,3
